# chirp_mass mass_ratio spin_1z spin_2z coalescence_time coalescence_phase luminosity_distance inclination longitude latitude psi
5.694311305056604324e+05 7.514000701634063750e-01 6.540572061976446250e-02 7.686250833619440170e-01 3.081932408717225158e+01 2.939022948866852669e+00 1.137676695182659932e+04 1.908779673364064511e+00 3.772571116285990289e+00 9.725844175867943697e-01 2.288043927481586692e+00
5.693739562249756418e+05 7.518225563903411235e-01 6.346333953630532709e-02 7.701377076196004312e-01 3.081932353690214299e+01 2.941201569623620671e+00 1.135805043438398206e+04 1.908950818270030325e+00 3.782328107513955207e+00 9.752805802447858108e-01 2.294601781041917477e+00
5.694575263771258760e+05 7.562776009890860296e-01 4.262433580601389382e-02 7.967574984204991440e-01 3.081932397354007946e+01 2.941383624073523606e+00 1.135000308643140670e+04 1.232586118807293074e+00 4.517329795544660076e-01 -6.939588291602677428e-02 9.487760943157133031e-01
5.693840870037468849e+05 7.568095843244575516e-01 3.401073408378529894e-02 8.074547187898022393e-01 3.081932275234891350e+01 4.515510192475821860e+00 1.138893701953477103e+04 1.232621547880120128e+00 4.615470649294102223e-01 -7.656257844362035492e-02 2.516098608282255178e+00
5.694646643798331497e+05 7.497336487191250676e-01 7.321036891015746118e-02 7.587868978677803078e-01 3.081932364016046932e+01 2.940661138619440784e+00 1.137944374253385104e+04 1.232511957646740042e+00 4.668566745299495557e-01 -7.300345056273785382e-02 9.431915842208743461e-01
5.695018329178050626e+05 7.453566107695392962e-01 1.051202669556988573e-01 7.171482007867658881e-01 3.081932563458363106e+01 2.933634064904335759e+00 1.135417583416698290e+04 1.908844294032756572e+00 3.779589481003520213e+00 9.762198014994445394e-01 2.292718336235892274e+00
5.692976684171126690e+05 7.577077167976525862e-01 2.322448556746119913e-02 8.212673761216557899e-01 3.081932210809276995e+01 4.517737091169221841e+00 1.138929474011893581e+04 1.909059882469848368e+00 3.792985420661395324e+00 9.673937276576978217e-01 7.311570964493155911e-01
5.693565541668813676e+05 7.554628739109628954e-01 4.354785982970969804e-02 7.951255766552355331e-01 3.081932317094531015e+01 2.942962463440674359e+00 1.139189361190394811e+04 1.908392816736893316e+00 3.809136388054835454e+00 9.626048895431895680e-01 2.312406169850450777e+00
5.694133496291810879e+05 7.512477800068207978e-01 6.179344921913836747e-02 7.735416420950002037e-01 3.081932333598552276e+01 4.512945449716681878e+00 1.137341436741320831e+04 1.908786858964523159e+00 3.797419439800702179e+00 9.683260404496811802e-01 7.342223911696854621e-01
5.694112031460679136e+05 7.549792273478170834e-01 4.575647815485030245e-02 7.931387898751904864e-01 3.081932339560676226e+01 2.941457271767366155e+00 1.136583919352417797e+04 1.908705926537893172e+00 3.776249791114595133e+00 9.736108396631443229e-01 2.290606055225440585e+00
5.693460900706440443e+05 7.585232538833696081e-01 2.284125427505184769e-02 8.216443666143775637e-01 3.081932253161428648e+01 4.516060156662737413e+00 1.141708858087070985e+04 1.908450067756793267e+00 3.793301888973581004e+00 9.597921598082534977e-01 7.305366379737451288e-01
5.693531729755072156e+05 7.547433552796399825e-01 4.209818968780479342e-02 7.978497731545137750e-01 3.081932274655583015e+01 2.944613838247615689e+00 1.136877238355745430e+04 1.909292003806360105e+00 3.785077886448692475e+00 9.733224049576735259e-01 2.296311933115523285e+00
5.693869066355477553e+05 7.520796476228921446e-01 5.497788516846300461e-02 7.820486163859438067e-01 3.081932243224486001e+01 2.944251340800289274e+00 1.143064355510796668e+04 1.909047943561921201e+00 3.779616987917478355e+00 9.608097473929839705e-01 2.292631206309850178e+00
5.693841656132506905e+05 7.548894758003372729e-01 4.150022454059781180e-02 7.989729376629707280e-01 3.081932293947319224e+01 2.944058584464516848e+00 1.138692058177122090e+04 1.233081344817065439e+00 4.537517655746728384e-01 -7.820540302853917769e-02 9.475132872635801951e-01
5.694795659148284467e+05 7.475737798752613017e-01 8.881417153592112423e-02 7.384476154881165488e-01 3.081932456843007984e+01 1.366890762876582954e+00 1.139058356842141438e+04 1.908991199865727850e+00 3.786897723908569713e+00 9.683594734863633091e-01 7.266264677209179901e-01
5.694051050815802300e+05 7.514693430218851722e-01 6.133376024206170507e-02 7.741358194889284006e-01 3.081932361560429001e+01 2.941942415375448761e+00 1.139326509786660608e+04 1.909085677900902889e+00 3.798820221985018897e+00 9.663200165000821462e-01 2.305059825212996127e+00
5.693439173826989718e+05 7.553722715762123396e-01 3.728978649082131946e-02 8.040718823946706451e-01 3.081932250459040290e+01 4.515979815380314122e+00 1.137348182233274747e+04 1.908688826476093725e+00 3.795151524021784795e+00 9.690891547886353319e-01 7.326427410491325176e-01
5.693974601716754260e+05 7.579226917498439464e-01 2.836584756540140237e-02 8.146872783373027005e-01 3.081932243694250673e+01 2.944967183907787778e+00 1.143231439758060333e+04 1.233580874421080775e+00 4.581764465634485251e-01 -8.693255165184664290e-02 9.464134428415158506e-01
5.694487547485310351e+05 7.537281808061160326e-01 5.661140226586765939e-02 7.787769494471762366e-01 3.081932362622581678e+01 1.369839191111502874e+00 1.137186518033922766e+04 1.232137597049101529e+00 4.740677380648121164e-01 -6.901676085692526330e-02 2.511833876035427071e+00
5.693701504648347618e+05 7.563940156847073215e-01 3.485174739211706341e-02 8.065428767073529182e-01 3.081932256045811513e+01 2.944752132576050396e+00 1.138026005377489491e+04 1.232655982033071140e+00 4.662050772611944227e-01 -7.384586404734821974e-02 9.434616017833733492e-01
5.693036753119891509e+05 7.535288068974892450e-01 4.563547538304670026e-02 7.931492152718089272e-01 3.081932182311630442e+01 2.946916158538888997e+00 1.137017640855471109e+04 1.909541454230474944e+00 3.777921197668238751e+00 9.738843412405229216e-01 2.291629035039372209e+00
5.692808130344745005e+05 7.551191970527425523e-01 4.007005652031611631e-02 7.996010821677248526e-01 3.081932244988001557e+01 2.945475301723532890e+00 1.138752508373782803e+04 1.908814747342382434e+00 3.796613761948249621e+00 9.665570160388485821e-01 2.304040811811715717e+00
5.694309787749348907e+05 7.514097371158772187e-01 6.584750266304352506e-02 7.678527495062915653e-01 3.081932404179636720e+01 1.369636272543461875e+00 1.132053892233251827e+04 1.909554681371475882e+00 3.798871178804714699e+00 9.820996764448386429e-01 7.354001055266313758e-01
5.693690311120937113e+05 7.561747484957291876e-01 3.545056425673639988e-02 8.059208384524305657e-01 3.081932246888436211e+01 1.374663177716162643e+00 1.138827707069826647e+04 1.908216026588907432e+00 3.786203673967116767e+00 9.662934007896112343e-01 7.260050249585986437e-01
5.693675516100060195e+05 7.578958608378072448e-01 2.882252542557754704e-02 8.138469193468234053e-01 3.081932280571904670e+01 2.943975189236478052e+00 1.135809634252955584e+04 1.232426588047217386e+00 4.680514504977088541e-01 -6.936957338265098416e-02 9.427956293917204578e-01
5.693881493469971465e+05 7.544068729788507843e-01 4.444587688989627694e-02 7.952981435668350363e-01 3.081932299120436625e+01 2.943311520858303165e+00 1.137419198247314489e+04 1.908847877511131275e+00 3.781244883871814011e+00 9.721810128116099570e-01 2.294026133501124942e+00
5.693323305738858180e+05 7.554640255156818140e-01 3.808863018910104564e-02 8.026657894155183604e-01 3.081932245672544823e+01 2.945243157208260243e+00 1.138059427905157463e+04 1.908783427583846004e+00 3.791576939920845213e+00 9.685629033625670070e-01 2.300657781108281341e+00
5.694084156827769475e+05 7.568386482374601654e-01 3.630833531058544339e-02 8.046154045747269112e-01 3.081932341197916259e+01 4.513097545477314121e+00 1.137694311493805435e+04 1.232678690976544589e+00 4.651814405269504848e-01 -7.319769824968455629e-02 2.514615861264148933e+00
5.693581037886996055e+05 7.572726666162834519e-01 3.305400019892206637e-02 8.082880269978768295e-01 3.081932284281334233e+01 2.943883491731966284e+00 1.138472369322849408e+04 1.909083991070150921e+00 3.778718798381191402e+00 9.699811808239384714e-01 2.291702343344104609e+00
5.693887803754681954e+05 7.575981658137211916e-01 2.753596271073123491e-02 8.160766807432995318e-01 3.081932210953001672e+01 4.515229900703438659e+00 1.146264118458933626e+04 1.232977921019573930e+00 4.803834131850422962e-01 -8.880334966968241039e-02 2.509391216787916434e+00
5.693482252239503432e+05 7.598543590824937688e-01 1.113916225297384432e-02 8.367591709883737128e-01 3.081932176329986817e+01 4.519185698546844598e+00 1.134913650567761033e+04 1.908932480379098795e+00 3.791138568791675212e+00 9.755492087353575537e-01 7.295770024223058314e-01
5.694180223345111590e+05 7.528357375705597709e-01 5.929500148098532791e-02 7.757064688940268349e-01 3.081932394341233916e+01 2.940670097498072177e+00 1.137056028838325255e+04 1.232704602457729059e+00 4.543705348034559055e-01 -7.472196148439862184e-02 9.475072968905364768e-01
5.693774604716036702e+05 7.567594728572897278e-01 3.009126429427241151e-02 8.133639360650672945e-01 3.081932240059058259e+01 2.945642031398530758e+00 1.139308052319583658e+04 1.908536335235162973e+00 3.788775675830029943e+00 9.661894841784930410e-01 2.298361600517205172e+00
5.694222193996376591e+05 7.520408842969119600e-01 5.986336317587084843e-02 7.757002969310441420e-01 3.081932325912169901e+01 1.370515078040639656e+00 1.142419100230471668e+04 1.233085711013959473e+00 4.721729052613484190e-01 -8.309446404807666053e-02 2.512329371769422171e+00
5.694526557919930201e+05 7.508195327453917045e-01 6.694143968990803883e-02 7.669813815369453947e-01 3.081932414238644924e+01 4.511028763142659770e+00 1.134630605462378116e+04 1.232442195351487024e+00 4.611367931494679828e-01 -6.683705771195334877e-02 2.515897435832707529e+00
5.694198604277941631e+05 7.482229858832447622e-01 8.027720706249849569e-02 7.496810972185443678e-01 3.081932377034065240e+01 4.510974873168701826e+00 1.137888568143314114e+04 1.908675918048036380e+00 3.782849344689803051e+00 9.694219038623551610e-01 7.241187566689210042e-01
5.693819052332394058e+05 7.520461814949837009e-01 5.519246787581061353e-02 7.818849428470514562e-01 3.081932273797584187e+01 2.944016635300913176e+00 1.139183583133409047e+04 1.908780101424993880e+00 3.781811693482837633e+00 9.674454861222765434e-01 2.293963599014232635e+00
5.694145223110920051e+05 7.472136299606967347e-01 8.337402805748646284e-02 7.461894590003034233e-01 3.081932374982462619e+01 2.940560559612046543e+00 1.137724919905472052e+04 1.908498126401953821e+00 3.790749184426968288e+00 9.681712646287670143e-01 2.300150609610290164e+00
5.693840220860257978e+05 7.539416642415062153e-01 4.974271678118993845e-02 7.878686820393560053e-01 3.081932313874041185e+01 2.943130717870979574e+00 1.137028010700138657e+04 1.909294052497450211e+00 3.804754661061919396e+00 9.709691200241938880e-01 2.310054658569019814e+00
5.693771280861175619e+05 7.561807728673594076e-01 3.971766062348366239e-02 8.001000388974814914e-01 3.081932329860380548e+01 4.513760632829499464e+00 1.139275560500097890e+04 1.908811352439113040e+00 3.805344755875726293e+00 9.655495065854204917e-01 7.388696520441615512e-01
5.693906546463114209e+05 7.516860950564007160e-01 5.954297232641093951e-02 7.761884792663719113e-01 3.081932307176273156e+01 2.942458122264243858e+00 1.139403229022430605e+04 1.908525254777896363e+00 3.776591004676272956e+00 9.668687921615957137e-01 2.290527222165402943e+00
5.693371266915608430e+05 7.546425240666380096e-01 4.410532415437396631e-02 7.949606054170808012e-01 3.081932292090433378e+01 2.943897339057376161e+00 1.142053638879609753e+04 1.908393059119897206e+00 3.796723329081915121e+00 9.593287434754234067e-01 2.303893417942443733e+00
5.693936553423299920e+05 7.527755413010287500e-01 5.058042274250010989e-02 7.878431939315254651e-01 3.081932262227408259e+01 2.945772717239437455e+00 1.133872520205615001e+04 1.232448697237655821e+00 4.562988462946270252e-01 -6.735830005077411697e-02 9.470952332049821232e-01
5.694104585780022899e+05 7.553020499730092041e-01 3.997747791216997582e-02 8.008451119953193809e-01 3.081932266075087767e+01 2.943333478720035590e+00 1.139162144162908407e+04 1.909125626832920419e+00 3.763587718466059329e+00 9.708571486401674777e-01 2.282382522355219212e+00
5.694063029301135102e+05 7.505712697663807775e-01 6.666890491563381982e-02 7.670712974654529948e-01 3.081932333402847490e+01 4.512392484264293735e+00 1.134827426561211905e+04 1.909359828365438272e+00 3.769205372292652179e+00 9.795620603586855379e-01 7.150885652951043392e-01
5.693275045598052675e+05 7.552309573192226289e-01 4.076578002447085736e-02 7.988120041567638996e-01 3.081932239216473945e+01 2.945235099671500656e+00 1.140007531778012162e+04 1.908823159641017231e+00 3.782508446946700076e+00 9.661793216668241868e-01 2.294331965338497259e+00
5.694410819692387013e+05 7.517263928348465463e-01 6.774075144107759294e-02 7.649692327505238643e-01 3.081932458017320897e+01 2.938412400305161043e+00 1.136478944480422069e+04 1.909167330037834898e+00 3.799665233120522512e+00 9.716168940868979975e-01 2.306309017221991997e+00
5.693338074693768285e+05 7.552077425825591828e-01 4.385043323156614936e-02 7.945827911004936794e-01 3.081932278130608793e+01 4.514890922939656548e+00 1.141222758622878609e+04 1.908663321642174893e+00 3.786617152401118513e+00 9.633741750775616230e-01 7.260404724730916692e-01
5.693555339145109756e+05 7.544293766422420777e-01 4.030925293402828902e-02 8.007417466555095675e-01 3.081932245100225387e+01 2.946230746703085046e+00 1.131126994587606168e+04 1.909199971042075061e+00 3.795460922388662173e+00 9.820318811295227768e-01 2.303968409826407715e+00
5.694093498365179403e+05 7.536474651894344845e-01 5.352024003894439302e-02 7.832096563957402502e-01 3.081932378520507143e+01 4.511938172847963280e+00 1.138601577373492182e+04 1.232739787338498871e+00 4.614425032811759753e-01 -7.660968262329038991e-02 2.515991883246946781e+00
5.693310359061310301e+05 7.501799272817127884e-01 6.180614069916452735e-02 7.734419445360219969e-01 3.081932241041405618e+01 2.945340358481516319e+00 1.137608475137248934e+04 1.909333385960215512e+00 3.784330269738671149e+00 9.715738391761351567e-01 2.296198341947055077e+00
5.693109560837469762e+05 7.569650960635897485e-01 3.095959866529010909e-02 8.110121107961851816e-01 3.081932214906919043e+01 4.517429797999884755e+00 1.138761336033555381e+04 1.908292239810486901e+00 3.793878678869250898e+00 9.657375601828085410e-01 7.310052445267868348e-01
5.693911090261888457e+05 7.558771120187067760e-01 4.142351217839933958e-02 7.982787548668373034e-01 3.081932318633333523e+01 2.941794163312251076e+00 1.140207865431690516e+04 1.908645055698450443e+00 3.768205912248208556e+00 9.675007945825294664e-01 2.284679118490580141e+00
5.694495878486487782e+05 7.553423942506702904e-01 4.515860968443403956e-02 7.942895285904372216e-01 3.081932391627576351e+01 2.940151313043118275e+00 1.139499459140598810e+04 1.908881846654998160e+00 3.777616476161774539e+00 9.689781875770232533e-01 2.291056993041456824e+00
5.694413916738781845e+05 7.485626418933676307e-01 7.641504595687141632e-02 7.551303879287964982e-01 3.081932380807040417e+01 4.511744049763673381e+00 1.137174663451508422e+04 1.232699191326626087e+00 4.591028305457905412e-01 -7.301188675041679621e-02 2.516667121152311726e+00
5.692841147820741171e+05 7.598617664867014510e-01 1.537781909614716579e-02 8.298036229343911385e-01 3.081932148944875038e+01 2.947154552152144280e+00 1.142931934834232925e+04 1.909236550416393730e+00 3.765416837338064759e+00 9.634423260335750472e-01 2.282846506705804135e+00
5.693917465687213698e+05 7.531292093398556098e-01 5.412233465895149864e-02 7.826561429000931103e-01 3.081932343292706733e+01 2.941776997579731212e+00 1.137285150773817622e+04 1.908861467252575439e+00 3.789436578159942837e+00 9.707575773118267692e-01 2.299645950427340768e+00
5.694028107806601329e+05 7.531356937291060483e-01 4.596583600745982739e-02 7.944269702873597572e-01 3.081932258305121053e+01 2.944903942710069611e+00 1.136757637037199856e+04 1.909127531248734577e+00 3.774346532558449763e+00 9.732087307670641563e-01 2.288852702751254853e+00
5.693808996233764337e+05 7.527090625991456063e-01 5.243437093709911456e-02 7.853193299906939817e-01 3.081932288444043877e+01 2.943464076556491449e+00 1.138567085824620699e+04 1.908899259900034950e+00 3.786465156930983511e+00 9.689861305079899845e-01 2.297388738669565722e+00
5.693651393223847263e+05 7.552234080397448590e-01 4.521248229531917712e-02 7.931917744930629954e-01 3.081932359258280130e+01 2.941624847325300607e+00 1.134847328020645000e+04 1.909074151262761143e+00 3.799172264052266268e+00 9.750900285030051906e-01 2.306595727642978932e+00
5.694413949898767751e+05 7.555648906014084121e-01 4.200584097587359983e-02 7.981459912885172647e-01 3.081932329734561193e+01 2.942258071871723502e+00 1.137335154770986810e+04 1.232455336577238159e+00 4.692984433448216808e-01 -7.113835487039234240e-02 9.425895701140055705e-01
5.694357685278987046e+05 7.484874959118593685e-01 8.422596193853425228e-02 7.438571628978386530e-01 3.081932454174525304e+01 2.938049784990248270e+00 1.134148766502238868e+04 1.909305932124465421e+00 3.794587377530978411e+00 9.776767669013602946e-01 2.303086308690283524e+00
5.693799924314558739e+05 7.565328663225403538e-01 3.460457955396110952e-02 8.073148134453659308e-01 3.081932304961581437e+01 2.943894835025918422e+00 1.137784987366302630e+04 1.909025655693121770e+00 3.803353478655048026e+00 9.683325707854030240e-01 2.308493966788294216e+00
5.693969042755417759e+05 7.534284372307820110e-01 5.508885500514935224e-02 7.811013439640145384e-01 3.081932376753525205e+01 2.940850021616334686e+00 1.145371622042349918e+04 1.908275449214585917e+00 3.798618137908186920e+00 9.520908260095314324e-01 2.304625420827384641e+00
5.692777649670109386e+05 7.580645391228916230e-01 2.034840223443331458e-02 8.245581145906130116e-01 3.081932136522613064e+01 2.949531644313020173e+00 1.145379840899385999e+04 1.907856026765802682e+00 3.795001287504618848e+00 9.501341157061948817e-01 2.301549883232713700e+00
5.694125993161549559e+05 7.591832815944097312e-01 2.052138066983204626e-02 8.250050216598714403e-01 3.081932297220681249e+01 4.515193502214847499e+00 1.135344234779934959e+04 1.908895560244844081e+00 3.795174683764735324e+00 9.752339223201677010e-01 7.324225796654693088e-01
5.693809536080828402e+05 7.529095091843246434e-01 5.738627575688880905e-02 7.781860507703991514e-01 3.081932382982203933e+01 4.512024345717962959e+00 1.141427549019207981e+04 1.908441858705449468e+00 3.798707285961168356e+00 9.601493323127179291e-01 7.338922682551588528e-01
5.693457733553386061e+05 7.579810323679646578e-01 2.775005714631105513e-02 8.148779048541939796e-01 3.081932249044803385e+01 4.515722982984562428e+00 1.138716586060606096e+04 1.232581835611911814e+00 4.630248226033997216e-01 -7.581595623801376527e-02 2.515245027086751239e+00
5.694547558047951898e+05 7.513562377699122274e-01 7.027046815553661396e-02 7.616935093423677916e-01 3.081932440545219265e+01 2.938841767172610364e+00 1.138855819230802263e+04 1.908793477430381857e+00 3.802154765708987139e+00 9.658225158319990733e-01 2.307508867236890637e+00
5.693639096778908279e+05 7.567424748339716123e-01 3.550174487998940254e-02 8.054881868297127934e-01 3.081932264336669292e+01 2.943230527204996783e+00 1.137460077381407973e+04 1.909781296571820830e+00 3.762042732460746830e+00 9.761024460051352936e-01 2.281043589269005079e+00
5.693933737511525396e+05 7.513382847406013809e-01 6.388585778616773236e-02 7.701503858519705981e-01 3.081932330934500186e+01 2.942241789609043590e+00 1.137009532903735999e+04 1.908620812176883508e+00 3.786920818794150545e+00 9.705940552026335322e-01 2.297476153946927280e+00
5.693980557539036963e+05 7.528884866635434658e-01 5.592510964157529352e-02 7.803621319468504458e-01 3.081932338473829702e+01 4.512605780370734010e+00 1.135810760698970262e+04 1.232279310788070070e+00 4.681374312202990495e-01 -6.873028483007537215e-02 2.513477503015736136e+00
5.693587347514195135e+05 7.534955711837021397e-01 4.897375577116074019e-02 7.892465449448781145e-01 3.081932286716344294e+01 2.944225914181723081e+00 1.136144542700021702e+04 1.908774544374976845e+00 3.784737000168813648e+00 9.727912229649501308e-01 2.295971249252228841e+00
5.692813930728869746e+05 7.593119820327930425e-01 1.258313048032874519e-02 8.344368978100366041e-01 3.081932109720538904e+01 2.949008255918735610e+00 1.144557818383449194e+04 1.908322582244503796e+00 3.771835046794749235e+00 9.565602592381147184e-01 2.287022540205601917e+00
5.694151796308765188e+05 7.510238859046861615e-01 6.616990308000737786e-02 7.675789965349190114e-01 3.081932363042252732e+01 2.940297177257036321e+00 1.138095728189661349e+04 1.908890845326441488e+00 3.767871732848433020e+00 9.716163046171182316e-01 2.284562871603852408e+00
5.694734582581829745e+05 7.539525009407075373e-01 5.418534350871931360e-02 7.827745543977174814e-01 3.081932410186681892e+01 4.510350912503039211e+00 1.135748622629542115e+04 1.232522813446218501e+00 4.642390476810205335e-01 -6.840371570597716944e-02 2.514898046534418175e+00
5.692718549557791557e+05 7.611477685192601372e-01 8.603213457913188450e-03 8.380317390864072680e-01 3.081932169624107232e+01 2.948528165331800732e+00 1.144723397784189729e+04 1.234035414747657100e+00 4.451256763856366039e-01 -9.468175946005992494e-02 9.512482425557884369e-01
5.694040709746056236e+05 7.514335650277572665e-01 6.359183951593153084e-02 7.707762638888727702e-01 3.081932360917280178e+01 2.941397693280630055e+00 1.140883830767100335e+04 1.908691946551249519e+00 3.798226390966913613e+00 9.612613930427237330e-01 2.304867794780029122e+00
5.694072185404099291e+05 7.549652590805300267e-01 4.275914224582698375e-02 7.972421842080328336e-01 3.081932314180848564e+01 2.943123753905646733e+00 1.137538936191130597e+04 1.232957770727574953e+00 4.673672144339255929e-01 -7.293147285040223193e-02 9.431973093968308852e-01
5.695179928943631239e+05 7.471194478598834898e-01 9.784725163643076540e-02 7.262558411152323368e-01 3.081932539313678276e+01 2.934222449297258173e+00 1.140006686439420628e+04 1.909004018511721412e+00 3.786603905745550946e+00 9.672650797916676479e-01 2.297080644706706476e+00
5.694937699488392100e+05 7.466847639732541175e-01 9.322088629096200729e-02 7.332032658997468255e-01 3.081932499861760277e+01 2.936117913731205231e+00 1.141656114894214443e+04 1.908763011446529934e+00 3.785165504463854802e+00 9.638580261912695901e-01 2.296205224987298621e+00
5.693815365649430314e+05 7.537816260346038577e-01 5.106084725002234259e-02 7.862148529508492523e-01 3.081932313986721539e+01 2.942805395497620768e+00 1.138504554489730981e+04 1.909062356336411526e+00 3.786001356862090717e+00 9.697406508573408468e-01 2.296746943781959427e+00
5.693499279942462454e+05 7.562133840199670720e-01 3.254472908991388330e-02 8.097285881880695868e-01 3.081932203764262468e+01 4.517482501987517551e+00 1.133881763418414448e+04 1.232063567926675818e+00 4.694604137186866311e-01 -6.439203538860814591e-02 2.512913173677850498e+00
5.693468893196858699e+05 7.586453102701924411e-01 2.610003010931694067e-02 8.168409238440256237e-01 3.081932273563100466e+01 2.943944105580493797e+00 1.138074997688037911e+04 1.908857041808148525e+00 3.778377914338554522e+00 9.710982446579754512e-01 2.291635259547829317e+00
5.694001252707418753e+05 7.543515503718578596e-01 4.618054139483411535e-02 7.928964830439628741e-01 3.081932311312062822e+01 2.943854735805126577e+00 1.138164671375052785e+04 1.908858361775302770e+00 3.800193704121200167e+00 9.681656239079847737e-01 2.306153921763556713e+00
5.694327486779562896e+05 7.511591696132410290e-01 6.913879648593707072e-02 7.635745124954850249e-01 3.081932424959470040e+01 4.508872634707649318e+00 1.137988281625633317e+04 1.909396311319600859e+00 3.772002119395209796e+00 9.739331192506687218e-01 7.167624586314459423e-01
5.693175513758525485e+05 7.587464702979346276e-01 2.051703856900478906e-02 8.243076286138598663e-01 3.081932222850459269e+01 4.517155479272438434e+00 1.133569423488311622e+04 1.908888490009916783e+00 3.781441040738239945e+00 9.798976360211411052e-01 7.232908502134749451e-01
5.693028325632768683e+05 7.536416946608639478e-01 4.015681562425693629e-02 8.011255608845944121e-01 3.081932155159941189e+01 2.948022739307234019e+00 1.143743357923565964e+04 1.909046313681368678e+00 3.769912047529904608e+00 9.603202856706817281e-01 2.285368144438463922e+00
5.694825446140364511e+05 7.496132855934838357e-01 7.827646355360812214e-02 7.515332087147831297e-01 3.081932352966240529e+01 1.368336394280821544e+00 1.145202894181332704e+04 1.233190160862691842e+00 4.774023151659211872e-01 -8.786949303013047441e-02 2.510400432806482840e+00
5.692706932624729816e+05 7.610193310739434835e-01 7.210077915369261792e-03 8.402410475312951377e-01 3.081932150440411888e+01 2.948581689443247278e+00 1.140105953041194516e+04 1.909049972579557330e+00 3.793136819352953548e+00 9.650068763395573956e-01 2.301594258837616813e+00
5.694371424179977039e+05 7.519843047626474375e-01 6.431806563738087790e-02 7.697636338574511683e-01 3.081932434133427989e+01 2.938484399473892505e+00 1.133518749039787690e+04 1.909126555069260656e+00 3.776827333601271874e+00 9.804086482706271255e-01 2.291195289088417741e+00
5.693556626142128371e+05 7.567133365307662229e-01 3.116309654008234120e-02 8.117589439626305969e-01 3.081932233239272989e+01 2.944449018667548934e+00 1.144391320896326943e+04 1.908520522169210532e+00 3.768690779543083291e+00 9.585446836425345341e-01 2.284621942208667544e+00
5.694049333909545094e+05 7.577427446373502518e-01 2.813337399439715808e-02 8.155567603206118621e-01 3.081932286880759975e+01 2.944159383197610946e+00 1.139497434950474599e+04 1.908563768748700928e+00 3.801870337534565714e+00 9.638347208827842127e-01 2.307222370075791229e+00
5.693825367801835528e+05 7.524678339792990611e-01 5.877653861476416636e-02 7.764528472851724983e-01 3.081932349231834678e+01 2.941533190941338471e+00 1.140759871759826638e+04 1.908609871685321480e+00 3.771451018614353057e+00 9.656694313361832149e-01 2.286373117441189429e+00
